name,been
Acropolis,false
Algoe NY,true
Amalienbad,true
Aral Sea,false
Artek,false
Atomium,true
Baarle-Nassau,true
Baden-Baden,true
Batttersea Power Station,true
Belgian Coast Tram,true
Berlin Wall,true
Bikini Atoll,false
Brioude à Saint-Flour,true
Canfranc,false
Channel Tunnel,true
Chartres Cathedral,true
Chernobyl,false
Crimean Trolleybus,false
Dead Sea,true
Dieveniškės,true
Doppelwendeltreppe,true
Dronningens Gate,false
Dubai,true
Dubrovnik,true
East Brighton,false
Easter Island,false
Étang de Lavalduc,true
F Market Line,true
Finland Station,false
Fukushima Daiichi,false
Galápagos,false
Gibraltar,false
Grand Canyon,true
Great Barrier Reef,false
Great Pyramid of Giza,true
Great Wall of China,false
Greenwich,true
Hagia Sophia,true
Haskell Free Library,false
Hiroshima,true
Holmenkollen Line,true
Itsukushima-jinja,false
Korean DMZ,true
Kyoto,false
Lake Turkana,false
Lamu,true
Lisbon Trams,true
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,true
Longyearbyen,false
Saatse Boot,true
Machu Picchu,false
Magnitogorsk Steel Works,false
Maho Beach,false
Marrakesh,true
Mauritania Railway,false
Medellín Metrocable,true
Mellunmäki,false
Moscow Kremlin,true
The Motherland Calls,false
Null Island,false
Operating a Tram,true
Panama Canal,true
Plaza de los Virreyes,false
Potemkin Stairs,false
Pyongyang Metro,false
Rouses Point,false
Route 66,true
Sarajevo,true
Schengen,true
Seiryu Miharashi,false
Siwa Oasis,true
Steamtown,true
Stonehenge,true
Sultan Hasan Mosque,true
Sydney Opera House,false
Széchenyi Fürdő,true
Taj Mahal,false
Timbuktu,true
Trans-Siberian Railway,false
TransMilenio,true
Transnistria,true
Twelve-Mile Circle,true
Vanuatu,true
Venice,true
Vennbahn,true
Vessel,true
Viaduc de Millau,true
Vizcaya Bridge,true
Woinic,true
Worker and Kolkhoz Woman,false
Wuppertal Schwebebahn,false
Xinbeitou Line,false
Yosemite,false
Yrjönkatu Swimming Hall,false
Z Train,true
Zlaté Piesky,true
